id;role;user_id;user_login;work_order_id
1;Awesome system;Baby;Mountains;1
2;Drive Tasty;Concrete Product;syndicate Georgia Mobility;2
3;uniform Analyst Fish;asymmetric;Awesome National;3
4;Iraq yellow Frozen;Web Fantastic;infrastructure Ergonomic;4
5;Maryland invoice;multi-byte calculating;Rubber Landing Bedfordshire;5
6;Oregon Lithuania user-centric;Brazil;Account;6
7;Streamlined hack;loyalty approach;impactful Optimization internet;7
8;orange synthesize;bypass;Corporate partnerships Books;8
9;Cheese ivory Pound;quantify cross-platform bi-directional;withdrawal;9
10;Credit navigating;Configuration Coordinator;hacking Faso invoice;10
