id;wo_id;article_id;prix_propose;date_affectation;qte;quantite_planifiee;quantite_realisee
1;31630;60860;1117;2026-07-12T15:31:40;19838;51704;3477
2;30309;54760;845;2026-07-13T07:20:43;87705;4068;41115
3;91360;53557;46756;2026-07-12T22:01:19;45367;48007;98191
4;9905;48028;83630;2026-07-13T11:20:42;554;50800;19815
5;34735;80955;62752;2026-07-13T09:02:02;95860;24448;12739
6;34316;58218;77184;2026-07-12T19:59:55;3214;17174;17301
7;10889;73816;98476;2026-07-13T10:46:08;83167;16410;34809
8;38958;82073;9197;2026-07-12T16:42:46;27601;31365;33776
9;5432;12681;30125;2026-07-13T06:53:29;81866;64842;49972
10;91123;17499;91491;2026-07-13T06:03:52;29837;31008;6422
