id;item;quantite_planifiee;quantite_realisee;article_code;work_order_id
1;49320;89120;22817;Account;1
2;96474;72226;20523;capacitor payment;2
3;72956;2600;52564;Forward Account Communications;3
4;84450;43743;2307;paradigms Berkshire multi-byte;4
5;59178;8214;94803;Intelligent Orchestrator;5
6;50873;39540;67426;parse;6
7;38713;25515;75581;West capability Re-contextualized;7
8;49113;71615;80199;Berkshire Awesome Orchestrator;8
9;38241;93691;18183;Web;9
10;6549;80464;2704;wireless Frozen Account;10
